id_evento,data,canal,categoria,subcategoria,descricao_original,valor,tipo,classificacao,resolvido,observacao
evt_0001,2026-01-01,chat,receita,salario,"Salário recebido no valor de R\$ 4.800",4800.00,entrada,dentro_padrao,sim,"Valor abaixo do esperado, mas dentro do mínimo aceitável."
evt_0002,2026-01-02,email,despesa,aluguel,"Pagamento de aluguel no valor de R\$ 1.300",1300.00,saida,dentro_padrao,sim,"Dentro do teto aceito."
evt_0003,2026-01-03,telefone,duvida,cadastramento,"Dúvida sobre como cadastrar um gasto fixo",,,"nao_aplicavel",nao,"Não é transação financeira."
evt_0004,2026-01-04,chat,despesa,supermercado,"Compra de supermercado no valor de R\$ 320",320.00,saida,dentro_padrao,sim,"Dentro do limite esperado."
evt_0005,2026-01-05,email,receita,freelance,"Freelance recebido no valor de R\$ 900",900.00,entrada,dentro_padrao,sim,"Receita variável dentro da faixa."
evt_0006,2026-01-06,chat,despesa,internet,"Pagamento de internet no valor de R\$ 120",120.00,saida,dentro_padrao,sim,"Dentro do teto aceito."
evt_0007,2026-01-07,telefone,duvida,orcamento,"Pedido de ajuda para entender o orçamento do mês",,,"nao_aplicavel",nao,"Orientação financeira geral."
evt_0008,2026-01-08,email,despesa,carro,"Gasolina no valor de R\$ 250",250.00,saida,dentro_padrao,sim,"Classificado como transporte."
evt_0009,2026-01-09,chat,receita,reembolso,"Reembolso recebido no valor de R\$ 180",180.00,entrada,dentro_padrao,sim,"Dentro da faixa esperada."
evt_0010,2026-01-10,telefone,despesa,energia,"Conta de luz no valor de R\$ 210",210.00,saida,dentro_padrao,sim,"Dentro do teto aceito."
evt_0011,2026-01-11,email,duvida,fraude,"Consulta sobre gasto fora do padrão",,,"nao_aplicavel",nao,"Pedido de orientação."
evt_0012,2026-01-12,chat,despesa,assinaturas,"Assinatura de streaming no valor de R\$ 39",39.00,saida,dentro_padrao,sim,"Dentro do padrão."
evt_0013,2026-01-13,telefone,receita,renda_extra,"Venda de item usado no valor de R\$ 150",150.00,entrada,dentro_padrao,sim,"Receita eventual."
evt_0014,2026-01-14,email,despesa,transporte,"Transporte por aplicativo no valor de R\$ 68",68.00,saida,dentro_padrao,sim,"Dentro do limite."
evt_0015,2026-01-15,chat,duvida,meta,"Mensagem sobre meta de economia mensal",,,"nao_aplicavel",nao,"Orientação sobre planejamento."
evt_0016,2026-01-16,telefone,despesa,jantar,"Jantar fora no valor de R\$ 94",94.00,saida,dentro_padrao,sim,"Dentro do limite esperado."
evt_0017,2026-01-17,email,receita,renda_extra,"Renda extra no valor de R\$ 1.200",1200.00,entrada,fora_padrao,sim,"Acima do teto máximo aceito."
evt_0018,2026-01-18,chat,despesa,saude,"Farmácia no valor de R\$ 76",76.00,saida,dentro_padrao,sim,"Dentro do padrão."
evt_0019,2026-01-19,telefone,duvida,despesas_variaveis,"Dúvida sobre despesas variáveis",,,"nao_aplicavel",nao,"Orientação financeira."
evt_0020,2026-01-20,email,despesa,vestuario,"Compra de roupas no valor de R\$ 280",280.00,saida,fora_padrao,sim,"Categoria nova a ser avaliada."